tweet_yyyymmdd,sentiment
2021-02-05,0.27154471544715447
2021-02-06,0.2831600831600832
2021-02-07,0.15837517115472388
2021-02-08,0.5201814058956916
2021-02-09,0.3564630027632791
2021-02-10,0.32401315789473684
2021-02-13,0.3479031305375074
2021-02-14,0.4519505233111323
2021-02-15,0.5585683297180043
2021-02-18,0.3549222797927461
2021-02-19,0.4015421115065243
2021-02-22,0.4365988909426987
2021-02-28,0.4092758340113914
2021-03-11,0.47368421052631576
2021-03-12,0.2874418604651163
2021-04-05,0.3675889328063241
2021-04-06,0.15444015444015444
2021-04-07,0.10420032310177706
2021-04-08,0.12766884531590414
2021-04-09,0.10787757150025087
2021-04-10,0.20542481053051456
2021-04-11,0.19476520400307928
2021-04-12,0.32848043676069155
2021-04-17,0.010416666666666666
2021-04-18,0.3673270542383891
2021-04-19,0.20577933450087565
2021-04-20,0.2254575707154742
2021-04-21,0.14870395634379263
2021-04-22,0.18907103825136612
2021-04-23,0.22656027358221714
2021-04-24,0.18834080717488788
2021-05-25,0.23893805309734514
2021-05-26,0.1691874780161801
2021-05-27,0.13212025316455697
2021-05-28,0.1330081300813008
2021-05-29,0.1539875045938993
2021-06-20,0.1464385783807698
2021-06-21,0.17556740289413555
2021-06-22,0.25158946412352406
2021-06-23,0.19907302222020265
2021-07-02,0.07810596833130329
2021-07-03,0.09584086799276673
2021-07-04,0.11360997372120027
2021-07-05,0.052954233167741255
2021-07-16,0.03357314148681055
2021-07-17,0.12565536525690318
2021-07-18,-0.0699307519750317
2021-07-19,0.057727784026996624
2021-07-20,0.2096808738487899
2021-07-21,0.12754770868492796
2021-07-22,0.025818585962212533
2021-07-23,-0.011411204770915763
2021-07-24,0.18220459053556248
2021-07-25,0.36303630363036304
2021-07-26,0.6152117545375972
2021-07-27,0.2435080842724155
2021-07-28,0.3782303611158651
2021-07-29,0.4098923595060424
2021-07-30,0.2601555747623163
2021-08-04,0.2872253864930838
2021-08-05,0.25768053508672484
2021-08-06,0.27504244482173174
2021-08-07,0.29906351791530944
2021-08-08,0.15132817821226813
2021-08-09,0.1543437860217836
2021-08-14,-0.10307141511211608
2021-08-15,0.11425164510003091
2021-08-16,0.14515658229431633
2021-08-17,0.062197728039590595
2021-08-18,0.10664721251399681
2021-08-19,0.18505409644853799
2021-08-20,0.20470794550114663
2021-08-21,0.07863678557220528
2021-08-23,0.11500923239250857
2021-08-24,0.05391055748417398
2021-08-25,0.1436650695153562
2021-08-26,0.11174108197495866
2021-09-10,0.09188224799286351
2021-10-18,0.10930711182254745
2021-10-19,0.258999579318496
2021-10-20,0.4973540973692168
2021-10-21,0.26554168496330216
2021-10-22,0.1385659614412593
2021-10-23,0.15896021791034737
2021-10-27,0.2973930939858221
2021-10-28,0.1700466906654311
2021-10-29,0.1319398833210988
2021-11-04,0.12740944715102734
2021-11-05,0.08604370350173333
2021-11-06,0.14167473804701947
2021-11-11,0.1442799461641992
2021-11-12,0.0640560956607161
2021-11-18,0.37705151990866276
2021-11-19,0.2329351112873643
2021-11-24,0.15565031982942432
2021-11-25,-0.05134508674580319
2021-11-26,0.20852133701483827
2021-12-11,0.24103455770484677
2021-12-17,0.1797961669123774
2021-12-29,0.376940133037694
2021-12-30,0.23509633345786413
2022-01-11,0.2258410113563317
2022-01-12,0.16830340027721255
2022-01-13,0.15648690292758088
2022-01-14,0.1711190712528592
2022-01-19,0.3870847331093692
2022-01-20,0.3166636685255142
2022-01-21,0.4948404616429056
2022-01-22,0.2674410929971619
2022-02-09,0.1969682433080687
2022-02-14,0.2388451443569554
2022-02-15,0.32220124872949035
2022-02-16,0.2907107935314028
2022-02-17,0.41847709950851203
2022-02-18,0.3287810547726282
2022-03-02,0.22208040842373963
2022-03-06,0.28784860557768926
2022-03-07,0.17600775414789896
2022-03-08,0.318118948824343
2022-03-09,0.15896073711297418
2022-03-10,0.1601213551323108
2022-03-14,0.25996810207336524
2022-03-15,0.16226638979531297
2022-03-16,0.15986192119985715
2022-03-17,0.16815578465063002
2022-03-18,0.29042559724866424
2022-03-19,0.2338203012640981
2022-03-20,0.20351110127609354
2022-03-21,0.21903545820646303
2022-03-22,0.25925925925925924
2022-03-23,0.23291664330960254
2022-03-24,0.23763055950571274
2022-04-13,0.25531587057010785
2022-04-14,0.20519166254193477
2022-04-15,0.15941439609597396
2022-04-16,0.16682216269900985
2022-04-17,0.3054989816700611
2022-04-18,0.23621618948721754
2022-04-19,0.22726207769082984
2022-04-20,0.1863051355741597
2022-04-21,0.1942945963244034
2022-04-22,0.16210162549596827
2022-04-27,0.1516014234875445
2022-04-28,0.18030762321769395
2022-04-29,0.1712658782303986
2022-04-30,0.1369886858137511
2022-05-01,0.21358238020790477
2022-05-02,0.17971958646084124
2022-05-10,0.3040079978187767
2022-05-11,0.35037032094481885
2022-05-12,0.2615158204562178
2022-05-13,0.20692259282567652
2022-05-22,0.28279057793795853
2022-05-23,0.21858957038638205
2022-05-24,0.3053271609203344
2022-05-25,0.2722791798107255
2022-05-26,0.36020184582697035
2022-05-27,0.2909869494290375
2022-05-28,0.27403712939872543
2022-05-29,0.2702182284980745
2022-05-30,0.44375539681293663
2022-05-31,0.3958904109589041
2022-06-01,0.28684321650479583
2022-06-02,0.2488081432805051
2022-06-03,0.196703093165401
2022-06-04,0.23618700667880996
2022-06-14,0.3904286452057153
2022-06-15,0.3253827244627254
2022-06-17,0.28019689511548657
2022-06-18,0.45155679248564967
2022-06-19,0.3770323111751389
2022-06-23,0.20811804186864113
2022-06-24,0.3421985815602837
