DATE,OVXCLS
2022-06-10,42.92
2022-06-13,47.56
2022-06-14,46.63
2022-06-15,47.04
2022-06-16,46.27
2022-06-17,49.19
2022-06-20,.
2022-06-21,46.56
2022-06-22,48.99
2022-06-23,48.58
2022-06-24,46.99
2022-06-27,46.99
2022-06-28,46.59
2022-06-29,48.57
2022-06-30,48.9
2022-07-01,49.4
2022-07-04,.
2022-07-05,52.61
2022-07-06,54.67
2022-07-07,52.87
2022-07-08,52.1
2022-07-11,53.1
2022-07-12,54.4
2022-07-13,51.76
2022-07-14,53.03
2022-07-15,51.77
